group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
./Rust ,,,,,2293844169.0,ns,1
./Rust ,,,,,2301372989.0,ns,1
./Rust ,,,,,2315639153.0,ns,1
./Rust ,,,,,2423209770.0,ns,1
./Rust ,,,,,2356001341.0,ns,1
./Rust ,,,,,2297075412.0,ns,1
./Rust ,,,,,2339079486.0,ns,1
./Rust ,,,,,2309950067.0,ns,1
./Rust ,,,,,2433791345.0,ns,1
./Rust ,,,,,2313861423.0,ns,1
./Rust ,,,,,2310129986.0,ns,1
./Rust ,,,,,2312683701.0,ns,1
./Rust ,,,,,2294003458.0,ns,1
./Rust ,,,,,2295704064.0,ns,1
./Rust ,,,,,2316244853.0,ns,1
./Rust ,,,,,2307991916.0,ns,1
./Rust ,,,,,2304310502.0,ns,1
./Rust ,,,,,2317125984.0,ns,1
./Rust ,,,,,2312704933.0,ns,1
./Rust ,,,,,2352254809.0,ns,1
./Rust ,,,,,2319671644.0,ns,1
./Rust ,,,,,2315399069.0,ns,1
./Rust ,,,,,2320599842.0,ns,1
./Rust ,,,,,2461060093.0,ns,1
./Rust ,,,,,2473405235.0,ns,1
./Rust ,,,,,2367174404.0,ns,1
./Rust ,,,,,2322515943.0,ns,1
./Rust ,,,,,2339570129.0,ns,1
./Rust ,,,,,2293808471.0,ns,1
./Rust ,,,,,2278928551.0,ns,1
./Rust ,,,,,2315979486.0,ns,1
./Rust ,,,,,2355865071.0,ns,1
./Rust ,,,,,2298214211.0,ns,1
./Rust ,,,,,2293483710.0,ns,1
./Rust ,,,,,2317898163.0,ns,1
./Rust ,,,,,2287894717.0,ns,1
./Rust ,,,,,2316340290.0,ns,1
./Rust ,,,,,2267323685.0,ns,1
./Rust ,,,,,2277080422.0,ns,1
./Rust ,,,,,2300470168.0,ns,1
./Rust ,,,,,2324336383.0,ns,1
./Rust ,,,,,2280502588.0,ns,1
./Rust ,,,,,2297685868.0,ns,1
./Rust ,,,,,2290550627.0,ns,1
./Rust ,,,,,2339009640.0,ns,1
./Rust ,,,,,2265370977.0,ns,1
./Rust ,,,,,2265557233.0,ns,1
./Rust ,,,,,2298197876.0,ns,1
./Rust ,,,,,2354405323.0,ns,1
./Rust ,,,,,2302357368.0,ns,1
./Rust ,,,,,2285799849.0,ns,1
./Rust ,,,,,2279629575.0,ns,1
./Rust ,,,,,2289059825.0,ns,1
./Rust ,,,,,2410450900.0,ns,1
./Rust ,,,,,2351969762.0,ns,1
./Rust ,,,,,2286473608.0,ns,1
./Rust ,,,,,2316685983.0,ns,1
./Rust ,,,,,2259488604.0,ns,1
./Rust ,,,,,2296738295.0,ns,1
./Rust ,,,,,2278025741.0,ns,1
./Rust ,,,,,2312693373.0,ns,1
./Rust ,,,,,2358681060.0,ns,1
./Rust ,,,,,2399674436.0,ns,1
./Rust ,,,,,2337280516.0,ns,1
./Rust ,,,,,2343312357.0,ns,1
./Rust ,,,,,2273996804.0,ns,1
./Rust ,,,,,2301868100.0,ns,1
./Rust ,,,,,2315576657.0,ns,1
./Rust ,,,,,2341457787.0,ns,1
./Rust ,,,,,2336925252.0,ns,1
./Rust ,,,,,2303193412.0,ns,1
./Rust ,,,,,2310010735.0,ns,1
./Rust ,,,,,2303941857.0,ns,1
./Rust ,,,,,2382773800.0,ns,1
./Rust ,,,,,2294408401.0,ns,1
./Rust ,,,,,2313462856.0,ns,1
./Rust ,,,,,2371882512.0,ns,1
./Rust ,,,,,2367163880.0,ns,1
./Rust ,,,,,2301753664.0,ns,1
./Rust ,,,,,2315257701.0,ns,1
./Rust ,,,,,2343681037.0,ns,1
./Rust ,,,,,2264063176.0,ns,1
./Rust ,,,,,2363172602.0,ns,1
./Rust ,,,,,2338510542.0,ns,1
./Rust ,,,,,2334987646.0,ns,1
./Rust ,,,,,2299138787.0,ns,1
./Rust ,,,,,2284969059.0,ns,1
./Rust ,,,,,2339130286.0,ns,1
./Rust ,,,,,2376871770.0,ns,1
./Rust ,,,,,2295921894.0,ns,1
./Rust ,,,,,2383250842.0,ns,1
./Rust ,,,,,2353249694.0,ns,1
./Rust ,,,,,2331457839.0,ns,1
./Rust ,,,,,2304436331.0,ns,1
./Rust ,,,,,2340356943.0,ns,1
./Rust ,,,,,2275380938.0,ns,1
./Rust ,,,,,2361382947.0,ns,1
./Rust ,,,,,2300866648.0,ns,1
./Rust ,,,,,2292002310.0,ns,1
./Rust ,,,,,2284330954.0,ns,1
