group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
./quick_sort ,,,,,1432817394.0,ns,1
./quick_sort ,,,,,1422222096.0,ns,1
./quick_sort ,,,,,1465012974.0,ns,1
./quick_sort ,,,,,1422119885.0,ns,1
./quick_sort ,,,,,1445579092.0,ns,1
./quick_sort ,,,,,1432173843.0,ns,1
./quick_sort ,,,,,1422369008.0,ns,1
./quick_sort ,,,,,1463570522.0,ns,1
./quick_sort ,,,,,1426929893.0,ns,1
./quick_sort ,,,,,1421792231.0,ns,1
./quick_sort ,,,,,1422327289.0,ns,1
./quick_sort ,,,,,1420883425.0,ns,1
./quick_sort ,,,,,1420612851.0,ns,1
./quick_sort ,,,,,1462141244.0,ns,1
./quick_sort ,,,,,1423454348.0,ns,1
./quick_sort ,,,,,1440254809.0,ns,1
./quick_sort ,,,,,1435187759.0,ns,1
./quick_sort ,,,,,1473245862.0,ns,1
./quick_sort ,,,,,1468751840.0,ns,1
./quick_sort ,,,,,1447060659.0,ns,1
./quick_sort ,,,,,1451911816.0,ns,1
./quick_sort ,,,,,1476345580.0,ns,1
./quick_sort ,,,,,1494011484.0,ns,1
./quick_sort ,,,,,1546768537.0,ns,1
./quick_sort ,,,,,1501989400.0,ns,1
./quick_sort ,,,,,1483602863.0,ns,1
./quick_sort ,,,,,1448707588.0,ns,1
./quick_sort ,,,,,1471043801.0,ns,1
./quick_sort ,,,,,1427271191.0,ns,1
./quick_sort ,,,,,1466703185.0,ns,1
./quick_sort ,,,,,1493173949.0,ns,1
./quick_sort ,,,,,1457655562.0,ns,1
./quick_sort ,,,,,1465203478.0,ns,1
./quick_sort ,,,,,1435161845.0,ns,1
./quick_sort ,,,,,1480136274.0,ns,1
./quick_sort ,,,,,1438609834.0,ns,1
./quick_sort ,,,,,1448499525.0,ns,1
./quick_sort ,,,,,1472551739.0,ns,1
./quick_sort ,,,,,1474296722.0,ns,1
./quick_sort ,,,,,1437568921.0,ns,1
./quick_sort ,,,,,1463602750.0,ns,1
./quick_sort ,,,,,1442434063.0,ns,1
./quick_sort ,,,,,1476432345.0,ns,1
./quick_sort ,,,,,1435914755.0,ns,1
./quick_sort ,,,,,1469962619.0,ns,1
./quick_sort ,,,,,1425024526.0,ns,1
./quick_sort ,,,,,1459227748.0,ns,1
./quick_sort ,,,,,1471163496.0,ns,1
./quick_sort ,,,,,1464916277.0,ns,1
./quick_sort ,,,,,1485280442.0,ns,1
./quick_sort ,,,,,1480504746.0,ns,1
./quick_sort ,,,,,1475717238.0,ns,1
./quick_sort ,,,,,1461348081.0,ns,1
./quick_sort ,,,,,1441814874.0,ns,1
./quick_sort ,,,,,1457008497.0,ns,1
./quick_sort ,,,,,1480544659.0,ns,1
./quick_sort ,,,,,1459219399.0,ns,1
./quick_sort ,,,,,1467126234.0,ns,1
./quick_sort ,,,,,1456666950.0,ns,1
./quick_sort ,,,,,1452611256.0,ns,1
./quick_sort ,,,,,1488441583.0,ns,1
./quick_sort ,,,,,1469395505.0,ns,1
./quick_sort ,,,,,1462170070.0,ns,1
./quick_sort ,,,,,1462266169.0,ns,1
./quick_sort ,,,,,1471750436.0,ns,1
./quick_sort ,,,,,1455540697.0,ns,1
./quick_sort ,,,,,1483404728.0,ns,1
./quick_sort ,,,,,1456743409.0,ns,1
./quick_sort ,,,,,1471301597.0,ns,1
./quick_sort ,,,,,1441754937.0,ns,1
./quick_sort ,,,,,1460836300.0,ns,1
./quick_sort ,,,,,1462338782.0,ns,1
./quick_sort ,,,,,1469964893.0,ns,1
./quick_sort ,,,,,1451113367.0,ns,1
./quick_sort ,,,,,1475663499.0,ns,1
./quick_sort ,,,,,1474548439.0,ns,1
./quick_sort ,,,,,1490314520.0,ns,1
./quick_sort ,,,,,1465486099.0,ns,1
./quick_sort ,,,,,1499679233.0,ns,1
./quick_sort ,,,,,1479819468.0,ns,1
./quick_sort ,,,,,1661791353.0,ns,1
./quick_sort ,,,,,1492826694.0,ns,1
./quick_sort ,,,,,1546895752.0,ns,1
./quick_sort ,,,,,1484484837.0,ns,1
./quick_sort ,,,,,1501294373.0,ns,1
./quick_sort ,,,,,1561426770.0,ns,1
./quick_sort ,,,,,1621685921.0,ns,1
./quick_sort ,,,,,1581800963.0,ns,1
./quick_sort ,,,,,1484004339.0,ns,1
./quick_sort ,,,,,1501489025.0,ns,1
./quick_sort ,,,,,1465030345.0,ns,1
./quick_sort ,,,,,1484337359.0,ns,1
./quick_sort ,,,,,1512023147.0,ns,1
./quick_sort ,,,,,1497080572.0,ns,1
./quick_sort ,,,,,1553609278.0,ns,1
./quick_sort ,,,,,1693375557.0,ns,1
./quick_sort ,,,,,1567373896.0,ns,1
./quick_sort ,,,,,1531738702.0,ns,1
./quick_sort ,,,,,1533983248.0,ns,1
./quick_sort ,,,,,1483634897.0,ns,1
